actual,0,1,2,3,4,All
0.0,0.119403915700212,0.003990522509041028,0.005611672278338945,0.006235191420376605,0.004052874423244794,0.13929417633121338
1.0,0.009913954358398803,0.3774784885895997,0.004988153136301285,0.0030552437959845366,0.014652699837885023,0.41008853971816933
2.0,0.007793989275470757,0.002556428482354408,0.1965332335702706,0.0075445816186556925,0.005985783763561541,0.220414016710313
3.0,0.005985783763561541,0.001059982541464023,0.005237560793116348,0.14328469884025438,0.006921062476618032,0.16248908841501433
4.0,0.0038658186806334953,0.005674024192542711,0.004676393565282455,0.005237560793116348,0.04826038159371493,0.06771417882528993
All,0.1469634617782766,0.39075944631500187,0.21704701334330964,0.16535727646838758,0.07987280209502431,1.0
