actual,0,1,2,3,4
0.0,0.8572068039391226,0.02864816472694718,0.04028648164726947,0.044762757385854966,0.02909579230080573
1.0,0.024175155846130454,0.9204804622168162,0.012163600425726015,0.007450205260757184,0.03573057625057017
2.0,0.03536067892503536,0.011598302687411598,0.8916548797736916,0.034229137199434226,0.027157001414427156
3.0,0.03683806600153492,0.006523407521105142,0.03223330775134305,0.8818112049117421,0.04259401381427475
4.0,0.0570902394106814,0.08379373848987108,0.06906077348066299,0.07734806629834254,0.712707182320442
All,0.1469634617782766,0.39075944631500187,0.21704701334330964,0.16535727646838758,0.07987280209502431
